0,1,2,3,4,5
406,Textile & Apparel Studies,Bachelors,"$43,800","$81,100",28%
407,Accounting & Management,Bachelors,"$49,700","$81,000",53%
408,Nursing Science,Bachelors,"$63,700","$80,900",84%
409,Business Management,Bachelors,"$48,800","$80,800",50%
409,Linguistics,Bachelors,"$49,300","$80,800",45%
411,Agronomy,Bachelors,"$49,100","$80,700",64%
411,Corporate Communications,Bachelors,"$45,300","$80,700",41%
411,Neuroscience,Bachelors,"$47,800","$80,700",59%
414,Communication Studies & Journalism,Bachelors,"$42,500","$80,600",49%
415,Sociology & Organizational Studies,Bachelors,"$48,200","$80,500",54%
416,Nursing,Bachelors,"$61,700","$80,400",84%
417,Toxicology,Bachelors,"$43,800","$80,300",-
417,History,Bachelors,"$45,300","$80,300",46%
417,Agricultural Science,Bachelors,"$46,900","$80,300",57%
420,Biology,Bachelors,"$44,500","$80,200",65%
420,Crop Science,Bachelors,"$45,200","$80,200",67%
420,French Language,Bachelors,"$46,600","$80,200",48%
423,Environmental Studies,Bachelors,"$45,900","$80,100",59%
423,Management (MGT),Bachelors,"$44,800","$80,100",57%
425,Communication,Bachelors,"$45,300","$79,900",45%
426,General & Strategic Management,Bachelors,"$48,900","$79,800",53%
426,Merchandising Management,Bachelors,"$44,200","$79,800",35%
428,Dental Hygiene,Bachelors,"$70,400","$79,600",79%
428,Hydrology,Bachelors,"$45,300","$79,600",-
430,Global Business,Bachelors,"$53,200","$79,500",37%
430,Retail & Consumer Science,Bachelors,"$48,500","$79,500",34%
430,Literature,Bachelors,"$44,400","$79,500",44%
433,Emergency Management,Bachelors,"$49,600","$79,400",78%
433,Interpersonal & Organizational Communication,Bachelors,"$40,300","$79,400",56%
433,Nuclear Medicine,Bachelors,"$57,800","$79,400",84%
436,History & Political Science,Bachelors,"$48,400","$79,300",51%
437,Retail Merchandising,Bachelors,"$48,000","$79,200",33%
438,Agriculture,Bachelors,"$45,300","$79,100",61%
438,Environmental Management,Bachelors,"$47,300","$79,100",61%
438,Professional & Technical Writing,Bachelors,"$46,000","$79,100",46%
441,International Development Studies,Bachelors,"$45,500","$79,000",64%
441,Workforce Education & Development,Bachelors,"$57,100","$79,000",74%
441,Journalism & Mass Communication,Bachelors,"$43,700","$79,000",45%
444,Pre-Medicine,Bachelors,"$48,400","$78,900",65%
445,Bachelor in Science Nursing,Bachelors,"$61,000","$78,800",81%
445,Network Technology,Bachelors,"$54,900","$78,800",57%
447,Theatre & Drama Studies,Bachelors,"$41,500","$78,600",49%
448,Law,Bachelors,"$51,900","$78,500",51%
449,Law Enforcement,Bachelors,"$43,800","$78,400",57%
449,Printing Technology,Bachelors,"$43,800","$78,400",-
449,Public Relations & Communication,Bachelors,"$43,600","$78,400",46%
452,Foreign Languages,Bachelors,"$47,800","$78,300",57%
452,Interior Architecture,Bachelors,"$45,100","$78,300",47%
452,Marine Science,Bachelors,"$44,000","$78,300",58%
452,Public Management,Bachelors,"$47,800","$78,300",60%
452,Web Development,Bachelors,"$54,100","$78,300",53%
457,Journalism,Bachelors,"$43,500","$78,200",45%
457,Landscape Architecture,Bachelors,"$49,000","$78,200",67%
457,Environmental Geography,Bachelors,"$47,100","$78,200",52%
460,Bachelor of Science in Nursing,Bachelors,"$60,700","$78,100",83%
461,Digital Media,Bachelors,"$44,500","$78,000",39%
461,Welding Technology,Bachelors,"$46,100","$78,000",-
463,Nutrition Science,Bachelors,"$45,900","$77,800",67%
464,Accounting & Business,Bachelors,"$49,400","$77,600",49%
464,Diagnostic Medical Sonography,Bachelors,"$62,200","$77,600",85%
466,American History (United States),Bachelors,"$47,800","$77,500",55%
466,Strategic Communication,Bachelors,"$44,600","$77,500",42%
468,Public Relations (PR),Bachelors,"$43,000","$77,400",43%
469,Natural Sciences,Bachelors,"$41,700","$77,300",51%
470,International Affairs,Bachelors,"$49,100","$77,200",53%
470,Drama,Bachelors,"$43,900","$77,200",46%
470,Network Administration,Bachelors,"$46,900","$77,200",55%
473,Media Studies,Bachelors,"$48,300","$77,100",36%
474,Organizational Development,Bachelors,"$51,600","$77,000",52%
474,Writing,Bachelors,"$41,800","$77,000",43%
476,Integrated Marketing Communications,Bachelors,"$44,600","$76,900",34%
477,Crisis & Emergency Management,Bachelors,"$46,600","$76,800",77%
477,Organizational Communication,Bachelors,"$44,000","$76,800",49%
477,Retailing,Bachelors,"$48,900","$76,800",27%
477,Speech Communication,Bachelors,"$43,900","$76,800",55%
481,Allied Health,Bachelors,"$41,800","$76,700",79%
481,Environmental Biology,Bachelors,"$43,000","$76,700",66%
481,Nuclear Medicine Technology,Bachelors,"$58,900","$76,700",81%
484,Apparel & Textile Manufacture,Bachelors,"$45,700","$76,600",36%
485,Technology Management,Bachelors,"$53,900","$76,500",45%
486,Film Production,Bachelors,"$42,700","$76,400",32%
486,Security Management,Bachelors,"$44,800","$76,400",-
488,Acting,Bachelors,"$42,200","$76,200",48%
488,Broadcast & Cinematic Arts,Bachelors,"$41,900","$76,200",41%
488,Business Management & Administration,Bachelors,"$48,600","$76,200",53%
488,Marine Biology,Bachelors,"$40,800","$76,200",61%
488,Professional Studies,Bachelors,"$42,100","$76,200",64%
488,Romance Languages,Bachelors,"$50,300","$76,200",54%
494,Computer Animation,Bachelors,"$44,500","$76,100",31%
495,Cytotechnology,Bachelors,"$58,100","$76,000",90%
495,Broadcast Journalism,Bachelors,"$41,100","$76,000",49%
495,Geography,Bachelors,"$46,900","$76,000",52%
498,Journalism & Electronic Media,Bachelors,"$42,100","$75,900",50%
499,Automotive Technology,Bachelors,"$45,800","$75,800",46%
499,Interpersonal Communications,Bachelors,"$43,100","$75,800",48%
501,Law & Society,Bachelors,"$44,400","$75,700",50%
502,Agricultural Business,Bachelors,"$50,300","$75,600",50%
502,Ancient History,Bachelors,"$43,900","$75,600",-
504,Computer Aided Design (CAD),Bachelors,"$46,500","$75,500",-
504,Computer Art,Bachelors,"$41,200","$75,500",30%
506,Administration,Bachelors,"$43,100","$75,400",56%
506,Forestry,Bachelors,"$44,700","$75,400",66%
508,Urban Studies,Bachelors,"$48,600","$75,300",56%
509,Business Law,Bachelors,"$51,100","$75,100",44%
510,Radio/Television & Film Production,Bachelors,"$42,800","$75,000",39%
511,Digital Design,Bachelors,"$48,200","$74,800",38%
511,Forensic Science,Bachelors,"$43,800","$74,800",62%
511,Geosciences,Bachelors,"$46,600","$74,800",63%
511,Logistics Management,Bachelors,"$52,800","$74,800",47%
515,Ecology,Bachelors,"$43,500","$74,700",53%
515,English & History,Bachelors,"$43,600","$74,700",48%
515,English Language & Literature,Bachelors,"$43,900","$74,700",44%
518,American Sign Language Interpreting,Bachelors,"$42,500","$74,600",85%
518,Homeland Security,Bachelors,"$46,800","$74,600",71%
518,Zoology,Bachelors,"$40,300","$74,600",67%
521,English Language,Bachelors,"$42,100","$74,500",47%
522,Human Resources Management (HRM),Bachelors,"$45,300","$74,400",55%
523,Technical Writing,Bachelors,"$52,000","$74,300",45%
523,Automotive Technology & Service Management,Bachelors,"$45,400","$74,300",36%
525,Business Technology,Bachelors,"$49,800","$74,100",45%
525,Mass Communication,Bachelors,"$42,700","$74,100",44%
527,Health Sciences,Bachelors,"$42,400","$74,000",70%
527,Organizational Leadership,Bachelors,"$47,400","$74,000",56%
529,Musicology,Bachelors,"$38,100","$73,900",-
530,Spanish Language,Bachelors,"$44,900","$73,600",53%
531,Historic Preservation,Bachelors,"$41,300","$73,500",52%
531,Music Technology,Bachelors,"$42,900","$73,500",38%
531,Organizational Leadership & Supervision,Bachelors,"$46,400","$73,500",50%
534,Human Nutrition,Bachelors,"$45,500","$73,400",84%
534,Spanish Language Teacher Education,Bachelors,"$43,900","$73,400",-
536,Botany,Bachelors,"$40,300","$73,300",72%
537,Apparel Merchandising,Bachelors,"$45,400","$73,200",35%
538,Environmental Health Science,Bachelors,"$51,400","$73,100",64%
538,Media & Technology,Bachelors,"$41,400","$73,100",48%
538,Public Administration,Bachelors,"$44,200","$73,100",58%
541,Liberal Arts,Bachelors,"$42,500","$73,000",53%
541,Merchandising,Bachelors,"$50,500","$73,000",30%
543,Environmental Resource Management,Bachelors,"$45,700","$72,900",62%
544,Computer Aided Drafting & Design (CADD),Bachelors,"$46,800","$72,800",54%
544,Forestry Management,Bachelors,"$44,300","$72,800",73%
546,German Language & Literature,Bachelors,"$46,100","$72,700",48%
546,Electronics & Computer Technology,Bachelors,"$51,700","$72,700",-
548,Administrative Management,Bachelors,"$50,100","$72,600",50%
548,Cardiopulmonary Science,Bachelors,"$45,800","$72,600",89%
550,3D Animation,Bachelors,"$49,400","$72,500",44%
551,Ethnic Studies,Bachelors,"$44,900","$72,300",62%
552,Adult Education & Training,Bachelors,"$46,200","$72,200",79%
552,Health Administration,Bachelors,"$40,700","$72,200",69%
554,Agricultural Communication,Bachelors,"$42,600","$72,100",51%
554,Organizational Management,Bachelors,"$46,900","$72,100",57%
556,Multimedia,Bachelors,"$42,800","$72,000",42%
557,Communication Design,Bachelors,"$48,700","$71,900",34%
558,Radiologic Science,Bachelors,"$54,900","$71,800",81%
559,Exercise Physiology,Bachelors,"$41,600","$71,700",78%
560,Criminal Justice Administration,Bachelors,"$43,700","$71,600",55%
561,Natural Resource Management,Bachelors,"$43,800","$71,500",60%
562,Diagnostic Medical Imaging,Bachelors,"$57,900","$71,400",74%
562,Earth Science,Bachelors,"$48,200","$71,400",50%
562,Hotel & Restaurant Management,Bachelors,"$44,600","$71,400",48%
565,Radiology,Bachelors,"$51,600","$71,300",84%
566,Art History,Bachelors,"$44,400","$71,200",46%
566,Hospital Management,Bachelors,"$48,500","$71,200",34%
566,Retail Management,Bachelors,"$45,700","$71,200",37%
569,English & Psychology,Bachelors,"$41,100","$71,100",47%
569,Human Resources (HR),Bachelors,"$44,800","$71,100",54%
569,Management & Organization,Bachelors,"$53,900","$71,100",68%
569,Painting & Printmaking,Bachelors,"$32,800","$71,100",41%
569,Visual Effects & Motion Graphics,Bachelors,"$47,400","$71,100",43%
574,Medical Laboratory Technology,Bachelors,"$54,100","$71,000",82%
574,Fashion Merchandising,Bachelors,"$44,100","$71,000",30%
576,Multimedia & Web Design,Bachelors,"$47,500","$70,900",34%
577,Advertising & Graphic Design,Bachelors,"$44,600","$70,800",37%
577,Anthropology,Bachelors,"$43,500","$70,800",46%
577,Broadcast Communication,Bachelors,"$37,900","$70,800",48%
577,Communication Management,Bachelors,"$42,500","$70,800",37%
577,Health Care Administration,Bachelors,"$43,600","$70,800",70%
582,Natural Resources,Bachelors,"$44,900","$70,700",66%
582,Psychology,Bachelors,"$42,000","$70,700",56%
582,Visual Communications,Bachelors,"$43,000","$70,700",37%
585,Applied Behavior Analysis,Bachelors,"$36,900","$70,600",-
585,Travel Industry Management,Bachelors,"$51,800","$70,600",-
587,Humanities,Bachelors,"$43,800","$70,500",48%
587,Sociology & Anthropology,Bachelors,"$41,900","$70,500",48%
587,Communication Arts,Bachelors,"$40,400","$70,500",41%
590,Creative Writing,Bachelors,"$42,800","$70,400",43%
591,Anthropology & English,Bachelors,"$44,900","$70,300",58%
591,Modern Languages,Bachelors,"$48,600","$70,300",52%
593,Health Care Management,Bachelors,"$44,000","$70,200",71%
593,Health Teacher Education,Bachelors,"$35,500","$70,200",52%
593,Radiologic Technology,Bachelors,"$52,100","$70,200",82%
596,Health & Fitness,Bachelors,"$38,000","$70,100",67%
597,Animal Science & Management,Bachelors,"$42,100","$70,000",54%
597,Criminology,Bachelors,"$42,400","$70,000",54%
597,Hospitality Management,Bachelors,"$43,600","$70,000",43%
597,Art Administration,Bachelors,"$36,800","$70,000",58%
597,Human Relations,Bachelors,"$41,100","$70,000",62%
602,Health Information Management,Bachelors,"$46,200","$69,900",69%
602,Medical Laboratory Science,Bachelors,"$53,000","$69,900",84%
604,Liberal Studies,Bachelors,"$42,300","$69,800",57%
604,Secondary & Middle School Mathematics Teacher Education,Bachelors,"$43,100","$69,800",71%
606,Fashion Design & Marketing,Bachelors,"$42,200","$69,700",39%
607,Art & Design,Bachelors,"$42,400","$69,600",39%
607,Physical Anthropology,Bachelors,"$49,300","$69,600",39%
607,Sports Management,Bachelors,"$42,900","$69,600",43%
610,Life Sciences,Bachelors,"$51,900","$69,400",59%
611,Respiratory Care,Bachelors,"$52,300","$69,200",84%
612,Audio Engineering,Bachelors,"$45,900","$69,100",37%
612,Social & Criminal Justice,Bachelors,"$42,300","$69,100",58%
614,Child Psychology,Bachelors,"$37,100","$68,900",64%
614,Interior Design,Bachelors,"$42,400","$68,900",50%
614,Small Business Management,Bachelors,"$43,900","$68,900",40%
614,Turfgrass Management,Bachelors,"$47,700","$68,900",49%
618,Medical Technology,Bachelors,"$53,300","$68,800",80%
618,Religious Studies,Bachelors,"$41,000","$68,800",57%
620,Hotel & Restaurant Tourism,Bachelors,"$42,500","$68,700",46%
621,Sociology,Bachelors,"$43,700","$68,600",54%
622,Arts & Science,Bachelors,"$43,900","$68,500",68%
622,Secondary Education,Bachelors,"$42,700","$68,500",62%
622,Speech Pathology & Audiology,Bachelors,"$41,500","$68,500",77%
625,Theater,Bachelors,"$42,400","$68,400",48%
626,Archaeology,Bachelors,"$43,900","$68,300",45%
626,Illustration,Bachelors,"$42,900","$68,300",36%
626,Radiography,Bachelors,"$52,700","$68,300",82%
629,Media Arts,Bachelors,"$44,000","$68,200",39%
630,Clinical Laboratory Science,Bachelors,"$52,400","$68,100",83%
630,Graphics Technology & Management,Bachelors,"$38,800","$68,100",36%
630,Psychology & Social Behavior,Bachelors,"$44,100","$68,100",56%
633,Health Management,Bachelors,"$42,000","$68,000",68%
633,Media Communication,Bachelors,"$44,300","$68,000",42%
635,Mass Media,Bachelors,"$38,100","$67,900",46%
635,Nutrition,Bachelors,"$45,100","$67,900",68%
637,Performing Arts,Bachelors,"$42,900","$67,800",52%
638,SocialStudies,Bachelors,"$43,700","$67,700",57%
639,Italian Language,Bachelors,"$47,800","$67,600",40%
640,Social Studies,Bachelors,"$44,100","$67,500",61%
641,Commercial Photography,Bachelors,"$42,000","$67,300",23%
642,Radio & Television,Bachelors,"$40,800","$67,200",40%
642,Respiratory Therapy,Bachelors,"$52,300","$67,200",82%
644,Art Therapy,Bachelors,"$39,200","$67,100",81%
644,Biological Anthropology,Bachelors,"$41,900","$67,100",44%
646,Drafting & Design,Bachelors,"$48,900","$66,800",59%
646,Geomatics,Bachelors,"$49,000","$66,800",65%
648,Clinical Nutrition,Bachelors,"$47,600","$66,700",73%
648,Horticulture & Agronomy,Bachelors,"$46,400","$66,700",58%
650,Graphic Communication,Bachelors,"$44,700","$66,600",29%
650,Plant Sciences,Bachelors,"$45,800","$66,600",60%
650,Kinesiology,Bachelors,"$42,100","$66,600",66%
650,Fire Science,Bachelors,"$47,200","$66,600",71%
654,Fashion Marketing & Management,Bachelors,"$45,200","$66,500",30%
654,Music,Bachelors,"$41,800","$66,500",54%
654,Nutrition & Dietetics,Bachelors,"$48,500","$66,500",72%
657,Health,Bachelors,"$41,900","$66,400",73%
657,Legal Studies,Bachelors,"$44,400","$66,400",49%
659,Criminal Justice,Bachelors,"$40,600","$66,300",56%
659,Wildlife & Fisheries Science,Bachelors,"$38,300","$66,300",59%
661,Forensic Psychology,Bachelors,"$40,800","$66,200",52%
662,Graphic Design,Bachelors,"$42,600","$65,800",37%
663,Dramatic Art,Bachelors,"$38,900","$65,700",-
664,Hospitality & Tourism,Bachelors,"$41,500","$65,600",41%
664,Religion,Bachelors,"$41,100","$65,600",62%
664,Pre-Veterinary Medicine,Bachelors,"$37,600","$65,600",72%
667,Sports Medicine,Bachelors,"$45,700","$65,400",74%
667,Women's Studies,Bachelors,"$42,700","$65,400",59%
669,Fine Arts,Bachelors,"$40,400","$65,300",45%
669,Public Health (PH),Bachelors,"$43,400","$65,300",70%
671,Modern Language Spanish,Bachelors,"$41,100","$65,200",51%
671,Museum Studies,Bachelors,"$37,600","$65,200",47%
673,Business Leadership,Bachelors,"$47,700","$65,100",46%
673,Dietetics,Bachelors,"$48,700","$65,100",75%
673,Forensic Accounting,Bachelors,"$44,200","$65,100",39%
673,Landscape Management,Bachelors,"$49,300","$65,100",-
673,Speech-Language Pathology,Bachelors,"$41,700","$65,100",70%
678,Animal Science,Bachelors,"$39,000","$64,900",64%
678,Family & Consumer Science,Bachelors,"$40,500","$64,900",57%
680,Drawing & Painting,Bachelors,"$40,600","$64,500",48%
680,Music Industry,Bachelors,"$44,400","$64,500",38%
680,Technical Theatre,Bachelors,"$39,100","$64,500",41%
683,Foods & Nutrition,Bachelors,"$45,000","$64,400",70%
683,Physical Therapist Assistant Studies,Bachelors,"$49,100","$64,400",85%
683,Recreation Management,Bachelors,"$40,300","$64,400",58%
686,Interdisciplinary Studies (IS),Bachelors,"$42,200","$64,200",56%
687,Education,Bachelors,"$41,800","$64,100",67%
688,Applied Linguistics,Bachelors,"$44,100","$64,000",40%
689,Applied Sociology,Bachelors,"$40,100","$63,800",57%
689,Business & Healthcare Management,Bachelors,"$44,700","$63,800",67%
691,Music Composition,Bachelors,"$42,300","$63,700",51%
691,Physical Education & Exercise Science,Bachelors,"$41,000","$63,700",78%
693,Behavioral Science,Bachelors,"$40,400","$63,500",61%
694,Psychology & Sociology,Bachelors,"$40,600","$63,400",52%
695,General Studies,Bachelors,"$41,200","$63,300",53%
696,Culinary Arts & Culinary Management,Bachelors,"$36,100","$63,200",51%
696,Theatre Arts,Bachelors,"$40,900","$63,200",49%
698,Technology Teacher Education,Bachelors,"$46,400","$63,100",47%
699,Art,Bachelors,"$40,600","$63,000",46%
699,Textiles & Clothing,Bachelors,"$42,900","$63,000",46%
701,Video Production,Bachelors,"$42,800","$62,800",38%
702,Training and Development,Bachelors,"$50,200","$62,500",-
703,Theology,Bachelors,"$39,300","$62,300",69%
703,Restaurant & Food Service Management,Bachelors,"$41,500","$62,300",45%
705,Missions,Bachelors,"$41,400","$62,200",-
706,Event Management,Bachelors,"$39,500","$62,100",42%
707,Clinical Psychology,Bachelors,"$40,900","$62,000",66%
707,Developmental Psychology,Bachelors,"$31,000","$62,000",-
707,Physical Education Teaching,Bachelors,"$39,600","$62,000",71%
707,Theatre,Bachelors,"$39,700","$62,000",48%
711,Sports Administration,Bachelors,"$41,200","$61,900",53%
712,Drawing,Bachelors,"$36,400","$61,800",35%
712,Health & Exercise Science,Bachelors,"$40,100","$61,800",67%
714,Agricultural Teacher Education,Bachelors,"$51,000","$61,700",53%
715,Graphic Arts,Bachelors,"$41,100","$61,600",39%
715,New Media,Bachelors,"$44,700","$61,600",32%
717,Health Services Administration,Bachelors,"$40,800","$61,500",64%
718,Interior Design & Merchandising,Bachelors,"$40,800","$61,400",38%
719,Exercise Science,Bachelors,"$38,900","$61,300",73%
720,Electronic Media,Bachelors,"$43,700","$61,200",38%
720,Exercise & Sports Science,Bachelors,"$40,400","$61,200",70%
720,Psychiatry,Bachelors,"$54,700","$61,200",-
720,Supervision & Management,Bachelors,"$39,400","$61,200",57%
724,African American & African Studies,Bachelors,"$43,600","$61,100",61%
725,Culture Studies,Bachelors,"$44,800","$61,000",41%
725,Printmaking,Bachelors,"$36,800","$61,000",41%
725,Secondary English Teacher Education,Bachelors,"$40,000","$61,000",67%
728,Community Health Education,Bachelors,"$40,200","$60,900",75%
728,Culinary Arts,Bachelors,"$36,700","$60,900",46%
730,Wildlife Management,Bachelors,"$37,800","$60,800",49%
730,Psychology & Philosophy,Bachelors,"$45,400","$60,800",40%
732,Mortuary Science,Bachelors,"$40,600","$60,700",81%
733,Paralegal Studies,Bachelors,"$37,700","$60,600",51%
734,Health Studies,Bachelors,"$40,600","$60,500",65%
734,Social Psychology,Bachelors,"$44,400","$60,500",55%
736,Health Services Management,Bachelors,"$39,300","$60,400",83%
737,Emergency Medical Services (EMS),Bachelors,"$41,600","$60,300",-
737,Recording Arts,Bachelors,"$40,500","$60,300",44%
739,English Teacher Education,Bachelors,"$41,300","$60,200",56%
739,Social Science Teacher Education,Bachelors,"$42,100","$60,200",-
739,Social Studies Teacher Education,Bachelors,"$42,400","$60,200",65%
742,Music Teacher Education,Bachelors,"$39,100","$60,000",66%
742,Photography,Bachelors,"$41,500","$60,000",38%
744,Teaching English as a Second Language (ESL),Bachelors,"$41,600","$59,900",75%
744,Health & Physical Education Teaching,Bachelors,"$37,000","$59,900",64%
746,Human Development,Bachelors,"$40,700","$59,700",65%
746,Painting,Bachelors,"$38,700","$59,700",44%
746,Radio Broadcasting,Bachelors,"$43,200","$59,700",-
746,Recreational Studies,Bachelors,"$40,500","$59,700",68%
750,Speech Pathology,Bachelors,"$40,500","$59,500",70%
751,Recreation Administration,Bachelors,"$45,000","$59,400",70%
752,Dance,Bachelors,"$42,600","$59,200",61%
753,Recreation & Leisure Studies,Bachelors,"$38,800","$59,100",63%
754,Arts Management,Bachelors,"$37,400","$59,000",44%
754,University Studies,Bachelors,"$40,000","$59,000",51%
754,Photojournalism,Bachelors,"$39,700","$59,000",66%
757,Organizational Administration,Bachelors,"$42,900","$58,900",-
758,Health & Medical Services Administration,Bachelors,"$37,900","$58,800",83%
758,Tourism Management,Bachelors,"$40,600","$58,800",38%
758,Communicative Disorders,Bachelors,"$45,200","$58,800",73%
761,Sculpture,Bachelors,"$38,400","$58,700",44%
762,Consumer Affairs,Bachelors,"$49,200","$58,600",48%
762,Social Services,Bachelors,"$38,000","$58,600",80%
764,Community Health,Bachelors,"$42,900","$58,500",69%
764,Justice Studies,Bachelors,"$43,300","$58,500",50%
764,Landscape Design,Bachelors,"$48,900","$58,500",65%
767,Horticulture,Bachelors,"$41,300","$57,800",60%
767,Wildlife Biology,Bachelors,"$41,000","$57,800",59%
769,Gender Studies,Bachelors,"$43,100","$57,700",55%
770,Nonprofit Management,Bachelors,"$40,400","$57,200",77%
771,Athletic Training,Bachelors,"$39,700","$57,000",76%
772,Human Development & Family Studies,Bachelors,"$38,300","$56,800",66%
773,Biblical Studies,Bachelors,"$38,700","$56,700",73%
773,Health Promotion,Bachelors,"$40,000","$56,700",69%
775,Home Economics,Bachelors,"$38,200","$56,500",65%
775,Theatre Studies,Bachelors,"$43,100","$56,500",51%
777,Teaching,Bachelors,"$39,600","$56,400",72%
778,Counseling Psychology,Bachelors,"$39,200","$56,200",65%
778,Health & Human Performance,Bachelors,"$36,200","$56,200",69%
780,Library & Information Science,Bachelors,"$44,700","$56,000",54%
781,Art Teacher Education,Bachelors,"$37,500","$55,900",62%
781,Hospitality & The Culinary Arts,Bachelors,"$37,400","$55,900",-
781,Musical Theatre,Bachelors,"$41,800","$55,900",46%
784,Clinical Social Work (CSW),Bachelors,"$41,700","$55,800",-
785,Biblical Studies & Practical Ministries,Bachelors,"$35,100","$55,700",78%
785,Rehabilitation Services,Bachelors,"$34,100","$55,700",79%
787,Parks & Recreation Management,Bachelors,"$40,600","$55,600",57%
787,Pastoral Ministry,Bachelors,"$37,300","$55,600",84%
789,Legal Assistant Studies,Bachelors,"$36,400","$55,500",39%
790,Applied Management,Bachelors,"$43,600","$55,400",-
791,Social Welfare,Bachelors,"$44,900","$55,300",71%
791,Tourism & Travel,Bachelors,"$40,600","$55,300",40%
791,Vocal Performance,Bachelors,"$38,900","$55,300",65%
794,Audio Production,Bachelors,"$43,700","$54,700",37%
794,Bible Studies & Theology,Bachelors,"$38,100","$54,700",66%
796,Church Ministries,Bachelors,"$38,100","$54,600",82%
797,Family Studies,Bachelors,"$35,900","$54,500",71%
797,Special Education,Bachelors,"$39,200","$54,500",78%
799,Ceramics,Bachelors,"$39,900","$54,400",48%
799,Communication Sciences & Disorders,Bachelors,"$40,900","$54,400",76%
799,Family & Community Services,Bachelors,"$38,500","$54,400",74%
802,Speech & Hearing,Bachelors,"$41,400","$54,300",79%
803,Community Development,Bachelors,"$42,100","$53,900",65%
804,Health and Human Services,Bachelors,"$41,500","$53,700",66%
805,Office Management,Bachelors,"$37,800","$53,400",50%
806,Psychology & Human Services,Bachelors,"$35,000","$53,300",78%
807,History Teacher Education,Bachelors,"$45,400","$53,000",45%
808,Youth Ministry,Bachelors,"$35,300","$52,300",82%
808,Therapeutic Recreation,Bachelors,"$37,700","$52,300",82%
810,Community & Human Services,Bachelors,"$40,500","$52,100",78%
811,Christian Ministry,Bachelors,"$35,500","$52,000",80%
812,Elementary Education,Bachelors,"$37,700","$51,600",71%
812,Social Work (SW),Bachelors,"$36,600","$51,600",77%
814,Office Administration,Bachelors,"$38,200","$51,200",61%
815,Voice & Opera,Bachelors,"$32,900","$50,800",61%
816,Elementary Teaching,Bachelors,"$34,400","$50,700",76%
816,Human Services (HS),Bachelors,"$36,600","$50,700",70%
818,Baking & Pastry Arts,Bachelors,"$36,000","$50,600",47%
819,Human Services Management,Bachelors,"$43,500","$50,500",-
820,Counseling,Bachelors,"$37,100","$49,300",78%
821,Recreational Therapy,Bachelors,"$36,400","$49,200",82%
822,Child Development,Bachelors,"$35,500","$49,100",76%
823,Middle School Education,Bachelors,"$39,000","$48,300",73%
824,Educational Psychology,Bachelors,"$34,600","$47,600",-
825,Early Childhood & Elementary Education,Bachelors,"$36,200","$46,500",78%
826,Rehabilitation Counseling,Bachelors,"$38,000","$46,100",-
827,Addiction Studies,Bachelors,"$36,300","$44,800",83%
828,Outdoor Education,Bachelors,"$35,800","$44,200",57%
829,Child & Family Studies,Bachelors,"$34,100","$43,600",74%
830,Early Childhood Education,Bachelors,"$34,100","$43,300",78%
831,Mental Health,Bachelors,"$35,200","$42,500",-
832,Medical Assisting,Bachelors,"$35,100","$42,300",-
833,Addictions Counseling,Bachelors,"$38,800","$42,200",-
834,Metalsmithing,Bachelors,"$38,300","$38,400",32%
